phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,blend_source,blend_weight,selected_alignment,stage1_source,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-real,True,real_eeg,base_only,base_logit,1.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6053511705685619,0.6028384214991357,0.6053511705685619,0.5733238507524222,598,35,28,0.6038363377915618,0.5971337095444238,0.6173203748698368,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-real,True,real_eeg,eeg_plus_base_0p05,base_logit,0.05,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.7140468227424749,0.7262253057788771,0.7140468227424749,0.7490358001786573,598,35,28,0.7092797915185975,0.7083063200027484,0.607913918778202,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-real,True,real_eeg,eeg_plus_base_0p10,base_logit,0.1,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.7107023411371237,0.7207569645962504,0.7107023411371237,0.7428906754621041,598,35,28,0.7064426783829769,0.7059910757232185,0.6077750780978827,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-real,True,real_eeg,eeg_plus_base_0p25,base_logit,0.25,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.7107023411371237,0.7055122556015413,0.7107023411371237,0.7342663368377654,598,35,28,0.7007058861536474,0.6990201762523192,0.6078097882679625,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-real,True,real_eeg,eeg_plus_base_0p50,base_logit,0.5,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.7107023411371237,0.7216638123780982,0.7107023411371237,0.7456155431869718,598,35,28,0.703212293510801,0.7027884070294784,0.6086775425199583,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-real,True,real_eeg,eeg_plus_base_rank_0p25,base_session_rank,0.25,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.7157190635451505,0.7290928416821274,0.7157190635451505,0.7541076066790353,598,35,28,0.7082231698649609,0.7078405225726653,0.607913918778202,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-real,True,real_eeg,eeg_plus_base_rank_0p50,base_session_rank,0.5,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.7123745819397993,0.7264986501593645,0.7123745819397993,0.7510554524840239,598,35,28,0.7005933535784282,0.6999668882704597,0.6073932662270045,28
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,eeg_only,eeg_score,0.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5753424657534246,0.5641215266215267,0.5753424657534246,0.553654000320667,584,30,26,0.5600306637806638,0.5574303011803011,0.5752244036762866,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,base_only,base_logit,1.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6267123287671232,0.6368876493876494,0.6267123287671232,0.6421412538079204,584,30,26,0.6280566829004328,0.6281401468901469,0.6986732467904017,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,eeg_plus_base_0p05,base_logit,0.05,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5736301369863014,0.562216255966256,0.5736301369863014,0.5520027657527657,584,30,26,0.5562149395743146,0.5532738095238096,0.5768694346100204,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,eeg_plus_base_0p10,base_logit,0.1,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5804794520547946,0.5713686776186777,0.5804794520547946,0.5601332772166107,584,30,26,0.5632314213564213,0.5604427979427979,0.5788720809641311,26
