phase,fold,seed,config_id,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,delta_transfer_gauc_vs_current_champion
V2-I,1,2026,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.639688031702957,0.6361615946883805,0.4082610204790003,28,0.02366755588018421
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.5600306637806638,0.5574303011803011,0.39126703143439545,26,-0.055989812042108955
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.5578216314935065,0.5545817608317608,0.3750670528913207,26,-0.05819884432926625
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6169147952741703,0.6142728105228106,0.3293280406251118,26,0.0008943194513975072
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.6229670775999447,0.6338842099258765,0.3323811616494543,24,0.00694660177717199
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.5790397636551483,0.5991028184778185,0.33384604116311434,24,-0.03698071216762444
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6137238150350038,0.62022362668196,0.36116604409287334,24,-0.0022966607877689116
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.6287520191251535,0.6290095255273828,0.4165914612981603,28,0.012731543302380799
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.6017191100773189,0.5971356421356422,0.4208608122179799,28,-0.01430136574545382
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6534999246193276,0.6545109900020615,0.410621312044429,28,0.03747944879655485
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.5619627074314575,0.5573845136345137,0.37385116046203914,26,-0.054057768391315264
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.5456742649711399,0.5423611111111112,0.3790008225154669,26,-0.07034621085163284
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6074147727272727,0.6029717504717503,0.32671744805636016,26,-0.008605703095500017
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.5697918534456996,0.5785452703161037,0.3003369222881418,24,-0.04622862237707315
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.5700384890944332,0.5882483141858142,0.32871896286530433,24,-0.04598198672833953
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6329298615137775,0.6422608641358641,0.34153665860982935,24,0.016909385691004752
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.6202788008011889,0.6194836330997047,0.40527594585213467,28,0.004258324978416161
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.6328600503973638,0.635147091664949,0.4149947934744881,28,0.016839574574591065
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6351250242295019,0.630419479660551,0.40111072544255466,28,0.01910454840672915
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.5457912833694083,0.5414405039405039,0.38790544648285236,26,-0.07022919245336445
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.551042794011544,0.5440700503200503,0.37928691485176846,26,-0.06497768181122876
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6267774846681096,0.6221640396640397,0.3267889711404356,26,0.010757008845336813
V2-I,3,2028,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.5646544015425135,0.5834967578717579,0.35127810737566834,24,-0.0513660742802593
V2-I,3,2028,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.5779798387315869,0.5995829671871339,0.3248004101662638,24,-0.03804063709118588
V2-I,3,2028,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6220236736845128,0.6302661381828049,0.35523328206255034,24,0.006003197861740084
V2-I,1,2029,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.5975672503284444,0.5910669621383907,0.42391530718500514,28,-0.018453225494328374
