phase,fold,seed,config_id,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,task,split,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_gauc,event_macro_auc,event_global_auc
V2-I,3,2028,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6537216828478964,0.6537216828478964,0.6478039692827813,0.6543356246927675,618,28,24,0.6634221256598879,0.6647462799546133,0.3606533362630923
V2-I,1,2029,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.717391304347826,0.717391304347826,0.7316908455301314,0.7569796605510891,598,35,28,0.7199800779651525,0.7194634697313268,0.42412356820548425
V2-I,2,2029,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6626712328767124,0.6626712328767124,0.6329705017205018,0.616180254930255,584,30,26,0.6088724296536796,0.6081111943611943,0.3471730501019204
V2-I,3,2029,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6779935275080906,0.6779935275080906,0.6833061381868141,0.6835537610537611,618,28,24,0.6886174625685115,0.6900620598537266,0.3606167142752509
V2-I,1,2030,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.7274247491638796,0.7274247491638796,0.7558150711722141,0.7687546210403354,598,35,28,0.7303007688828583,0.7327201006665292,0.4191947240541478
V2-I,2,2030,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6506849315068494,0.6506849315068494,0.6340312465312465,0.6179725829725828,584,30,26,0.6166688086219336,0.61753108003108,0.335228695061331
V2-I,3,2030,C0p3-sample0p35-cap3000,V2H-local-real,True,real_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6407766990291263,0.6407766990291263,0.646509679255261,0.6509347464704608,618,28,24,0.6573194288229254,0.6600025745859079,0.35838277301691934
V2-I,1,2026,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.7073578595317725,0.7073578595317725,0.7163945908588767,0.7421218649075794,598,35,28,0.6939339019189766,0.6917442065209923,0.4134328358208955
V2-I,2,2026,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.6404109589041096,0.6404109589041096,0.6305567118067118,0.626125340708674,584,30,26,0.6058917297979798,0.6046229233729233,0.3374101491256303
V2-I,3,2026,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.6585760517799353,0.6585760517799353,0.6624415848909527,0.6491344502058788,618,28,24,0.6661673505204974,0.6657296098962765,0.36900314949095425
