phase,fold,seed,representation,pair_protocol,candidate,uses_eeg,control_type,score_alignment,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_pair_count,pairwise_c,pair_sample_rate,pair_cap,train_pair_count_total,train_pair_count_used,train_pair_rows_with_reverse,train_feature_dim,solver,max_iter,tol
V2-K,1,2026,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.6181432663522216,0.6214759413866557,0.6292606733772996,28,0.6421404682274248,0.6421404682274248,0.6560202066452067,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2026,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.5528680781024531,0.548113923113923,0.6068018452955691,26,0.565068493150685,0.565068493150685,0.5489276926776927,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2026,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.6107837772173436,0.6183781110864445,0.616384677360287,24,0.6019417475728155,0.6019417475728155,0.6218412658415239,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2027,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.6327783162111521,0.6313536298357727,0.6227698715723706,28,0.6672240802675585,0.6672240802675585,0.6517080373330374,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2027,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.5450502795815295,0.54126591001591,0.571791295640668,26,0.5616438356164384,0.5616438356164384,0.5560705498205498,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2027,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.6008386233036583,0.621964443735277,0.6100856954515491,24,0.5792880258899676,0.5792880258899676,0.6246732027993316,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2028,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.6388349378647886,0.6382172919672922,0.6354043734814301,28,0.6638795986622074,0.6638795986622074,0.6810838004588006,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2028,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.5545632665945166,0.5507696007696008,0.5976826520759575,26,0.571917808219178,0.571917808219178,0.5609850797350797,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2028,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.6154987980162805,0.6304620572328905,0.5858419395004761,24,0.6116504854368932,0.6116504854368932,0.6290361485409538,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2029,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.6216342529775365,0.6174816618566619,0.6428323498785145,28,0.6588628762541806,0.6588628762541806,0.638841155537584,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2029,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.5442177353896104,0.5390933140933141,0.5812323427386189,26,0.5565068493150684,0.5565068493150684,0.5537786287786288,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2029,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.5730048506272283,0.5929731572439906,0.5845235479381821,24,0.5663430420711975,0.5663430420711975,0.5931969823978337,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2030,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.6378433589627619,0.6394141886552601,0.628323498785144,28,0.6688963210702341,0.6688963210702341,0.6606709130816274,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2030,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.5333515963203463,0.5287654475154475,0.5871329971748382,26,0.5376712328767124,0.5376712328767124,0.5306635494135494,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2030,full_mean_std,same_session,V2K-zero-full_mean_std,False,zero_eeg_control,user_center_alpha_2p0,0.5880497707420785,0.6054127662460996,0.6301179228008497,24,0.5679611650485437,0.5679611650485437,0.6049648958211264,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2026,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.6504876052637246,0.6498317571978285,0.5863936133287053,28,0.6454849498327759,0.6454849498327759,0.6781822707715566,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2026,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.6073393533549785,0.605742636992637,0.6482852340592926,26,0.6078767123287672,0.6078767123287672,0.6239709364709364,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2026,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.6064088203948345,0.6162402528027529,0.5341316926682781,24,0.6084142394822006,0.6084142394822006,0.6228070723912119,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
