candidate,score_variant,uses_eeg,control_type,variant_family,power,base_weight,seed_count,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-H2_E0,margin_power0p25_base0p0,False,H2_E0_non_eeg,fine_power_base_grid,0.25,0.0,5,0.596619301460949,0.008011982882051369,0.6026537669748192,0.596619301460949,0.587174204846623,0.589970373248151,0.6142817161627708,0.0,0.0
V2H-local-H2_E0,margin_power0p2_base0p0,False,H2_E0_non_eeg,fine_power_base_grid,0.2,0.0,5,0.596619301460949,0.008011982882051369,0.6026537669748192,0.596619301460949,0.587174204846623,0.589970373248151,0.6142817161627708,0.0,0.0
V2H-local-H2_E0,margin_power0p35_base0p0,False,H2_E0_non_eeg,fine_power_base_grid,0.35,0.0,5,0.596619301460949,0.008011982882051369,0.6026537669748192,0.596619301460949,0.587174204846623,0.589970373248151,0.6142817161627708,0.0,0.0
V2H-local-H2_E0,margin_power0p3_base0p0,False,H2_E0_non_eeg,fine_power_base_grid,0.3,0.0,5,0.596619301460949,0.008011982882051369,0.6026537669748192,0.596619301460949,0.587174204846623,0.589970373248151,0.6142817161627708,0.0,0.0
V2H-local-H2_E0,margin_power0p4_base0p0,False,H2_E0_non_eeg,fine_power_base_grid,0.4,0.0,5,0.596619301460949,0.008011982882051369,0.6026537669748192,0.596619301460949,0.587174204846623,0.589970373248151,0.6142817161627708,0.0,0.0
V2H-local-H2_E0,margin_power0p5_base0p0,False,H2_E0_non_eeg,fine_power_base_grid,0.5,0.0,5,0.596619301460949,0.008011982882051369,0.6026537669748192,0.596619301460949,0.587174204846623,0.589970373248151,0.6142817161627708,0.0,0.0
V2H-local-real,margin_power0p2_base0p025,True,real_eeg,fine_power_base_grid,0.2,0.025,5,0.6813695123598442,0.006656697121739448,0.6876784697797247,0.6813695123598442,0.6716831716777639,0.6749233978103025,0.5907621272844835,1.0,0.0
V2H-local-real,margin_power0p2_base0p05,True,real_eeg,fine_power_base_grid,0.2,0.05,5,0.6807833693599897,0.00580452635024816,0.682727164806407,0.6807833693599897,0.6723193203752318,0.6754717246671613,0.5942397891526279,1.0,0.0
V2H-local-real,margin_power0p15_base0p025,True,real_eeg,fine_power_base_grid,0.15,0.025,5,0.6803708444985326,0.005407086189179716,0.6854749935516882,0.6803708444985326,0.6717720837675485,0.6750871064928605,0.5922548129627155,1.0,0.0
V2H-local-real,margin_power0p4_base0p1,True,real_eeg,fine_power_base_grid,0.4,0.1,5,0.6800400041930195,0.0058895963750487555,0.6847810246892142,0.6800400041930195,0.6715163154031047,0.6747902877545735,0.5927859060808902,1.0,0.0
V2H-local-real,margin_power0p35_base0p075,True,real_eeg,fine_power_base_grid,0.35,0.075,5,0.6798332073796549,0.00536375913139213,0.6844206111762057,0.6798332073796549,0.6709487732267795,0.674297260462935,0.5923242698723299,1.0,0.0
V2H-local-real,margin_power0p25_base0p05,True,real_eeg,reference_score_family,0.25,0.05,5,0.6795761674784092,0.0062223687984933815,0.6838145769296486,0.6795761674784092,0.6712953989229675,0.6746110625852689,0.5925538003621958,1.0,0.0
V2H-local-real,margin_power0p1_base0p025,True,real_eeg,fine_power_base_grid,0.1,0.025,5,0.6795292653631237,0.005695455487696949,0.6812291500896424,0.6795292653631237,0.6716088161834903,0.6747678908393194,0.5950044990295857,1.0,0.0
V2H-local-real,margin_power0p35_base0p05,True,real_eeg,fine_power_base_grid,0.35,0.05,5,0.6794835259161863,0.0067054709446776484,0.6867124755116472,0.6794835259161863,0.6703892044595896,0.6736042195605687,0.5905575976417099,1.0,0.0
V2H-local-real,margin_power0p3_base0p05,True,real_eeg,fine_power_base_grid,0.3,0.05,5,0.6794007725949704,0.005528373333197991,0.6858645702540411,0.6794007725949704,0.6703127277540227,0.6735772843044668,0.5913781378780928,1.0,0.0
V2H-local-real,margin_power0p4_base0p075,True,real_eeg,fine_power_base_grid,0.4,0.075,5,0.6791930404575471,0.005060761891544885,0.6860071475841185,0.6791930404575471,0.6701548574578594,0.6735079779494463,0.5914820497079225,1.0,0.0
V2H-local-real,margin_power0p25_base0p025,True,real_eeg,fine_power_base_grid,0.25,0.025,5,0.6791401248387029,0.007415138148091378,0.6884305594486486,0.6791401248387029,0.6705681252890132,0.6740136198677865,0.5898739341907976,1.0,0.0
V2H-local-real,margin_power0p3_base0p075,True,real_eeg,fine_power_base_grid,0.3,0.075,5,0.679126762183887,0.0051360091532011865,0.6814939633573796,0.679126762183887,0.6703362406726796,0.6734807523825381,0.5933457178139216,1.0,0.0
V2H-local-real,margin_power0p25_base0p075,True,real_eeg,fine_power_base_grid,0.25,0.075,5,0.6789963048645401,0.006268211537141405,0.6807618052144134,0.6789963048645401,0.6708716417621657,0.6739498289409004,0.5950490448431816,1.0,0.0
V2H-local-real,margin_power0p5_base0p15,True,real_eeg,fine_power_base_grid,0.5,0.15,5,0.6789378712044191,0.0062459841504497035,0.6826687881535494,0.6789378712044191,0.6700716252207746,0.6734065231138644,0.5932222539748884,1.0,0.0
V2H-local-real,margin_power0p35_base0p1,True,real_eeg,fine_power_base_grid,0.35,0.1,5,0.6785792368240023,0.005269241477511854,0.6809296354460121,0.6785792368240023,0.6701434648233782,0.6733369854719061,0.5938644898402828,1.0,0.0
V2H-local-real,margin_power0p3_base0p1,True,real_eeg,fine_power_base_grid,0.3,0.1,5,0.6784335462017219,0.007159912948309947,0.6802978117520541,0.6784335462017219,0.6705677122448075,0.6736238714621651,0.5953535274719279,1.0,0.0
V2H-local-real,margin_power0p3_base0p025,True,real_eeg,fine_power_base_grid,0.3,0.025,5,0.6784184463400016,0.006339471741877699,0.6882544424775754,0.6784184463400016,0.6708701962369672,0.6744251036294687,0.5892687348944021,1.0,0.0
V2H-local-real,margin_power0p4_base0p15,True,real_eeg,fine_power_base_grid,0.4,0.15,5,0.6782124514094827,0.006117727575594659,0.6795535245412205,0.6782124514094827,0.6700405064191367,0.6729802018968687,0.5954272305224543,1.0,0.0
V2H-local-real,margin_power0p4_base0p05,True,real_eeg,fine_power_base_grid,0.4,0.05,5,0.6781405216533327,0.006355462424518413,0.6863915007339946,0.6781405216533327,0.6697334830037036,0.6731526254462762,0.5900252604392324,1.0,0.0
V2H-local-real,margin_power0p5_base0p1,True,real_eeg,fine_power_base_grid,0.5,0.1,5,0.6780828898760574,0.00621040009560274,0.6850009481281641,0.6780828898760574,0.6691525018828683,0.6724658085888244,0.5912037910760148,1.0,0.0
V2H-local-real,margin_power0p5_base0p075,True,real_eeg,fine_power_base_grid,0.5,0.075,5,0.6776911163588103,0.00608360480208343,0.6863572109497048,0.6776911163588103,0.6696087425044295,0.6731346592854529,0.5902254994768653,1.0,0.0
V2H-local-real,margin_power0p35_base0p025,True,real_eeg,fine_power_base_grid,0.35,0.025,5,0.6776391360640248,0.005986167750049685,0.6877573730603671,0.6776391360640248,0.670836910169675,0.6744413279254549,0.5888767922902425,1.0,0.0
V2H-local-real,margin_power0p15_base0p05,True,real_eeg,fine_power_base_grid,0.15,0.05,5,0.677308830758931,0.006248428209354535,0.6787167536572898,0.677308830758931,0.6697660883318386,0.6725862406993359,0.5968071238988124,1.0,0.0
