phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,variant_family,power,base_weight,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p3_base0p0,fine_power_base_grid,0.3,0.0,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6317654153475049,0.629453398783756,0.6425199583477958,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p3_base0p025,fine_power_base_grid,0.3,0.025,0.6438127090301003,0.6374281009995296,0.6438127090301003,0.6449791108362537,598,35,28,0.6186096573410006,0.616507013158799,0.6422769871572371,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p3_base0p05,fine_power_base_grid,0.3,0.05,0.6421404682274248,0.6336015703872846,0.6421404682274248,0.6419178863464577,598,35,28,0.6149742628847106,0.612382863498935,0.6437695244706699,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p3_base0p075,fine_power_base_grid,0.3,0.075,0.6421404682274248,0.6336015703872846,0.6421404682274248,0.6419178863464579,598,35,28,0.6150571816243458,0.6128788952449666,0.6448455397431447,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p3_base0p1,fine_power_base_grid,0.3,0.1,0.6454849498327759,0.6371729989587133,0.6454849498327759,0.6447750292036006,598,35,28,0.6171040899399107,0.6149197115714973,0.6447761194029851,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p3_base0p15,fine_power_base_grid,0.3,0.15,0.6555183946488294,0.6641098848241705,0.6555183946488294,0.669895966467395,598,35,28,0.6237814175873878,0.6217432187521474,0.6455397431447414,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p35_base0p0,fine_power_base_grid,0.35,0.0,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6317654153475049,0.629453398783756,0.6425199583477958,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p35_base0p025,fine_power_base_grid,0.35,0.025,0.6471571906354515,0.6390579195936338,0.6471571906354515,0.6462829657115371,598,35,28,0.6216812043677715,0.6195654031814747,0.6421728566469976,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p35_base0p05,fine_power_base_grid,0.35,0.05,0.6421404682274248,0.6359400057614344,0.6421404682274248,0.6437886346457775,598,35,28,0.6160936658697852,0.6142961288050575,0.6433877125997918,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p35_base0p075,fine_power_base_grid,0.35,0.075,0.6404682274247492,0.6327087132444275,0.6404682274247492,0.6412036006321721,598,35,28,0.6140124055049427,0.6119860381021096,0.6443595973620272,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p35_base0p1,fine_power_base_grid,0.35,0.1,0.6421404682274248,0.6336015703872846,0.6421404682274248,0.6419178863464579,598,35,28,0.6150571816243458,0.6128788952449666,0.6449843804234641,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p35_base0p15,fine_power_base_grid,0.35,0.15,0.6521739130434783,0.6420010412867556,0.6521739130434783,0.6486374630660345,598,35,28,0.6213779586913916,0.6194784795231225,0.6455050329746617,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p4_base0p0,fine_power_base_grid,0.4,0.0,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6317654153475049,0.629453398783756,0.6425199583477958,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p4_base0p025,fine_power_base_grid,0.4,0.025,0.6488294314381271,0.6400499830856974,0.6488294314381271,0.6470766165051879,598,35,28,0.6227591479830286,0.6205574666735382,0.6425546685178758,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p4_base0p05,fine_power_base_grid,0.4,0.05,0.6454849498327759,0.6383634751491895,0.6454849498327759,0.6457274101559817,598,35,28,0.6179166935883352,0.6159542920703636,0.6429017702186741,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p4_base0p075,fine_power_base_grid,0.4,0.075,0.6421404682274248,0.6336015703872846,0.6421404682274248,0.6419178863464577,598,35,28,0.6149742628847106,0.612382863498935,0.6439777854911489,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p4_base0p1,fine_power_base_grid,0.4,0.1,0.6404682274247492,0.6327087132444275,0.6404682274247492,0.6412036006321721,598,35,28,0.6140124055049427,0.6119860381021096,0.6448455397431448,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p4_base0p15,fine_power_base_grid,0.4,0.15,0.6471571906354515,0.6378343746200889,0.6471571906354515,0.6453041297327011,598,35,28,0.6197574896082358,0.617565214217,0.6449149600833045,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p5_base0p0,fine_power_base_grid,0.5,0.0,0.6538461538461539,0.6476347263847264,0.6538461538461539,0.6541212121212121,598,35,28,0.6317654153475049,0.629453398783756,0.6425199583477958,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p5_base0p025,fine_power_base_grid,0.5,0.025,0.6505016722408027,0.6427972358329501,0.6505016722408027,0.650251219679791,598,35,28,0.6240255432792746,0.6216397177557892,0.6425546685178758,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p5_base0p05,fine_power_base_grid,0.5,0.05,0.6454849498327759,0.6380658561015704,0.6454849498327759,0.6454893149178863,598,35,28,0.6176679373694298,0.6156566730227445,0.6425893786879555,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p5_base0p075,fine_power_base_grid,0.5,0.075,0.6438127090301003,0.6365777608634752,0.6438127090301003,0.6442988387274102,598,35,28,0.6168932394305529,0.6149338839070982,0.6433182922596321,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p5_base0p1,fine_power_base_grid,0.5,0.1,0.6438127090301003,0.6365777608634752,0.6438127090301003,0.6442988387274102,598,35,28,0.6187174517025262,0.6169180108912252,0.6441860465116279,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p5_base0p15,fine_power_base_grid,0.5,0.15,0.6421404682274248,0.6336015703872846,0.6421404682274248,0.6419178863464579,598,35,28,0.6150571816243458,0.6128788952449666,0.6448455397431447,28
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,reference_score_family,1.0,0.05,0.5736301369863014,0.562216255966256,0.5736301369863014,0.5520027657527657,584,30,26,0.5562149395743146,0.5532738095238096,0.5768694346100204,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,reference_score_family,0.5,0.05,0.5753424657534246,0.5670417545417545,0.5753424657534246,0.5561848645181978,584,30,26,0.5593995761183261,0.5568713693713693,0.5789793655902442,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,reference_score_family,0.25,0.05,0.5873287671232876,0.5857739482739482,0.5873287671232876,0.5745887445887445,584,30,26,0.5741220238095237,0.5729111166611166,0.5846296892321997,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p0,fine_power_base_grid,0.1,0.0,0.5753424657534246,0.5641215266215267,0.5753424657534246,0.553654000320667,584,30,26,0.5600306637806638,0.5574303011803011,0.5752244036762866,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p025,fine_power_base_grid,0.1,0.025,0.5993150684931506,0.6022549210049211,0.5993150684931506,0.5894013548180214,584,30,26,0.5864745670995671,0.5859434546934547,0.5871329971748382,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p05,fine_power_base_grid,0.1,0.05,0.5993150684931506,0.5978720353720354,0.5993150684931506,0.5883144941478274,584,30,26,0.5851104797979798,0.5841704591704592,0.5937131209097737,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p075,fine_power_base_grid,0.1,0.075,0.6061643835616438,0.6097513597513597,0.6061643835616438,0.606017316017316,584,30,26,0.5931983901515151,0.5929521867021867,0.6013303293638022,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p1,fine_power_base_grid,0.1,0.1,0.6078767123287672,0.6161158286158286,0.6078767123287672,0.611533189033189,584,30,26,0.5975200667388167,0.5984314296814297,0.6064084683331545,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p1_base0p15,fine_power_base_grid,0.1,0.15,0.6078767123287672,0.6183085433085433,0.6078767123287672,0.6134335417668751,584,30,26,0.5979777687590188,0.5986269748769749,0.6153488538425778,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p0,fine_power_base_grid,0.15,0.0,0.5753424657534246,0.5641215266215267,0.5753424657534246,0.553654000320667,584,30,26,0.5600306637806638,0.5574303011803011,0.5752244036762866,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p025,fine_power_base_grid,0.15,0.025,0.5873287671232876,0.5864861989861989,0.5873287671232876,0.5757351290684624,584,30,26,0.573861607142857,0.5725549913049913,0.5842005507277473,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p05,fine_power_base_grid,0.15,0.05,0.5976027397260274,0.5979636104636105,0.5976027397260274,0.5856822190155524,584,30,26,0.5821553706709957,0.5804692992192992,0.5892786896970997,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p075,fine_power_base_grid,0.15,0.075,0.5976027397260274,0.5962694712694713,0.5976027397260274,0.5869256052589387,584,30,26,0.5836781881313131,0.5825678950678951,0.5934985516575475,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p1,fine_power_base_grid,0.15,0.1,0.6027397260273972,0.6051217301217301,0.6027397260273972,0.6020049703383036,584,30,26,0.5899629103535353,0.5897794335294335,0.598791259879126,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p15_base0p15,fine_power_base_grid,0.15,0.15,0.6078767123287672,0.6161158286158286,0.6078767123287672,0.611533189033189,584,30,26,0.5975200667388167,0.5984314296814297,0.6060866144548153,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p0,fine_power_base_grid,0.2,0.0,0.5753424657534246,0.5641215266215267,0.5753424657534246,0.553654000320667,584,30,26,0.5600306637806638,0.5574303011803011,0.5752244036762866,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p025,fine_power_base_grid,0.2,0.025,0.5736301369863014,0.5661336348836349,0.5736301369863014,0.5553978274811607,584,30,26,0.5585278003246754,0.5560777185777186,0.5811965811965812,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p05,fine_power_base_grid,0.2,0.05,0.5976027397260274,0.6007413882413883,0.5976027397260274,0.5875605258938592,584,30,26,0.584769457972583,0.5845443907943908,0.5867396202124235,26
V2-S,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p2_base0p075,fine_power_base_grid,0.2,0.075,0.601027397260274,0.600990675990676,0.601027397260274,0.5883056758056758,584,30,26,0.5861050234487734,0.5845647408147407,0.590065443621929,26
