experiment_id,stage,fold,config,seed,params,backbone_params,eeg_params,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,h2_gauc,h2_logloss,h2_brier,h2_ece,shuffle_gauc,zero_gauc,delta_h2_gauc,delta_shuffle_gauc,delta_zero_gauc,zero_sensitivity,shuffle_sensitivity,h2_sensitivity,correction_abs_mean,eeg_gradient_norm,backbone_best_epoch,eeg_best_epoch,elapsed_seconds,locked_test_accessed
U_U1_f3_U1-profile-dynamic-film_s0,U1,3,U1-profile-dynamic-film,0,41027,1513,39433,0.6277569361485446,0.6447256331631332,0.6812422178275835,0.6404509835905138,0.2067825947456078,0.1012624245393307,0.5912015432120328,0.6509613808156314,0.2112916113699042,0.038376364033613435,0.6211284247997535,0.5680652583624611,0.03655539293651178,0.006628511348791055,0.05969167778608342,0.21393893659114838,0.07447299361228943,0.11724536865949631,0.5227401256561279,0.2769234700917803,5,11,29.757746934890747,False
U_U1_f3_U1-profile-dynamic-film_s1,U1,3,U1-profile-dynamic-film,1,41027,1513,39433,0.6528875650379147,0.6645446798571798,0.7132864571888963,0.5976026562816406,0.1903179079185123,0.04770753844295702,0.6239037283617703,0.6123062274306705,0.19704157662155783,0.032398887633053236,0.6140277360557082,0.6048642208607243,0.028983836676144348,0.038859828982206523,0.04802334417719034,0.11109097301959991,0.07202651351690292,0.08345640450716019,0.4623970091342926,0.2635307977211308,19,12,40.82404088973999,False
U_U1_f3_U1-profile-dynamic-film_s2,U1,3,U1-profile-dynamic-film,2,41027,1513,39433,0.624734502094642,0.6290443931068931,0.6750531018823701,0.6281383283419965,0.20091112841726796,0.056067659878643684,0.5904915209111014,0.6531426271973668,0.21226087026577725,0.023499316708683465,0.6064403836256983,0.5889898660003554,0.03424298118354063,0.018294118468943688,0.035744636094286575,0.0546315498650074,0.03677775338292122,0.05459769442677498,0.25422459840774536,0.1737111801466539,3,5,20.82286047935486,False
U_U2_f1_U2-profile-bilinear_s0,U2,1,U2-profile-bilinear,0,17171,1513,15577,0.6124856238289074,0.6077844559540988,0.6169038528288788,0.6554128450974495,0.2319594314319512,0.07647040919707634,0.5955810772974953,0.6733736093568559,0.24025554596557033,0.12634253203438392,0.5950703193986776,0.5866471753785186,0.016904546531412046,0.01741530443022976,0.02583844845038874,0.05477090924978256,0.0082945441827178,0.05685161426663399,0.295328289270401,0.08807409622798977,13,11,18.168131828308105,False
U_U2_f1_U2-profile-bilinear_s1,U2,1,U2-profile-bilinear,1,17171,1513,15577,0.6325373134328358,0.631245640933141,0.632939951405762,0.6422570543685768,0.22580461967850102,0.05166691886447904,0.6009247054769443,0.6725341227012133,0.2397801836111185,0.10715150071633237,0.6086068574874545,0.5975617583080272,0.03161260795589149,0.023930455945381346,0.034975555124808655,0.06126825883984566,0.015322130173444748,0.06338519603013992,0.31250059604644775,0.43261372542166565,13,9,17.177746057510376,False
U_U2_f1_U2-profile-bilinear_s2,U2,1,U2-profile-bilinear,2,17171,1513,15577,0.571047037539575,0.5686141173641174,0.5464422075668172,0.6782632432043585,0.24238548274924276,0.09455589937275664,0.5730157653291982,0.6784588344395844,0.24247134321853844,0.0947495330372493,0.571047037539575,0.5730157653291982,-0.0019687277896232036,0.0,-0.0019687277896232036,0.00038551725447177887,6.959969323361292e-05,0.00038638178375549614,0.0017796114552766085,0.005655356055442174,6,1,10.49653148651123,False
U_U2_f2_U2-profile-bilinear_s0,U2,2,U2-profile-bilinear,0,17171,1513,15577,0.5920780348124098,0.5963408813408813,0.5939634517040374,0.625378226547067,0.21762631560316803,0.03260707060853543,0.5920780348124098,0.6256173831865409,0.2177340389461653,0.0323367214483146,0.5920780348124098,0.5920780348124098,0.0,0.0,0.0,0.0004602250410243869,0.0001315165573032573,0.00046205034595914185,0.0020294918213039637,0.02282926965547411,7,1,13.122200965881348,False
U_U2_f2_U2-profile-bilinear_s1,U2,2,U2-profile-bilinear,1,17171,1513,15577,0.6467598980880231,0.6477013727013726,0.6344455172907055,0.6067028877921696,0.21055966229892092,0.074161923957434,0.626472086940837,0.6120682931399176,0.21253169471697536,0.06408018513342696,0.6393119814213564,0.6230629960317461,0.02028781114718614,0.007447916666666776,0.023696902056277058,0.01584700308740139,0.0032547812443226576,0.01623627170920372,0.07963915914297104,0.06392871954196125,15,3,16.910013914108276,False
U_U2_f2_U2-profile-bilinear_s2,U2,2,U2-profile-bilinear,2,17171,1513,15577,0.6170669868326119,0.6144850982350983,0.6094481994063584,0.6133848013153431,0.21340763293719653,0.05832772680069058,0.613713924963925,0.6203150301845455,0.2159175056188892,0.04429030693483144,0.6168476055194805,0.6100183757215007,0.0033530618686868907,0.00021938131313137266,0.007048611111111103,0.01795305497944355,0.0032816140446811914,0.01837540790438652,0.09144135564565659,0.044796730885120026,13,3,16.728972911834717,False
U_U2_f3_U2-profile-bilinear_s0,U2,3,U2-profile-bilinear,0,17171,1513,15577,0.5907030518044504,0.6094000598167265,0.6372225884421006,0.6482906352296443,0.21002322312984684,0.06535744595215073,0.5906198017212003,0.6490071349650898,0.21037281634875776,0.06337780090756301,0.5907030518044504,0.5906198017212003,8.325008325005268e-05,0.0,8.325008325005268e-05,0.0033078622072935104,0.0009674741886556149,0.0033117388375103474,0.014120842330157757,0.07541615066009932,9,2,16.459609746932983,False
