candidate,score_variant,uses_eeg,control_type,variant_family,power,base_weight,fallback_base_weight,seed_count,mean_reliability,std_reliability,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-shuffle,std_rel_f0p70_ref1p0_base0p025,False,shuffle_eeg_control,context_std_reliability,0.2,0.025,0.0,5,0.8826051835969304,0.0795497073183544,0.6389717880069858,0.005721643351205875,0.6567041657611894,0.6389717880069858,0.6275252030373168,0.6302105321192623,0.5871114830922162,1.0,0.0
V2H-local-shuffle,count_std_rel_f0p75_count12_std1p0_base0p025,False,shuffle_eeg_control,context_count_std_reliability,0.2,0.025,0.0,5,0.8627528382869931,0.09085692349419827,0.6387514950975922,0.006324716966478638,0.657202579384603,0.6387514950975922,0.6267240382275006,0.6296783530622816,0.5839449004598046,1.0,0.0
V2H-local-shuffle,margin_power0p2_base0p025,False,shuffle_eeg_control,v2s_reference,0.2,0.025,0.0,5,1.0,0.0,0.6386078085646425,0.005618696424129411,0.6550947761704295,0.6386078085646425,0.6373893483181837,0.6405423535899726,0.6020888002913342,1.0,0.0
V2H-local-shuffle,hist_std_rel_fallback0p05,False,shuffle_eeg_control,history_context_std_fallback,0.2,0.025,0.05,5,0.8732814557192612,0.06863287593745228,0.6377621817124353,0.008103471812903145,0.6598790206643235,0.6377621817124353,0.6292285240477138,0.6329988838689236,0.5868206225114153,1.0,0.0
V2H-local-shuffle,count_hist_std_rel_fallback0p05,False,shuffle_eeg_control,count_history_context_std_fallback,0.2,0.025,0.05,5,0.8355974775757808,0.09396099558224663,0.6368577591790381,0.00797563797577168,0.6588643486330427,0.6368577591790381,0.6267187121780604,0.6316064985866572,0.5814742184489311,1.0,0.0
V2H-local-shuffle,hist_pos_std_rel_fallback0p10,False,shuffle_eeg_control,history_position_context_std_fallback,0.2,0.025,0.1,5,0.821723843277697,0.0804980609880914,0.6365465866256617,0.010425033336744879,0.6557473734004614,0.6365465866256617,0.628422766777259,0.6301355997397664,0.5825865626633133,1.0,0.0
V2H-local-shuffle,hist_pos_std_rel_fallback0p05,False,shuffle_eeg_control,history_position_context_std_fallback,0.2,0.025,0.05,5,0.821723843277697,0.0804980609880914,0.6350786035466005,0.009469724894678969,0.6544479273345879,0.6350786035466005,0.6272684232342394,0.6284074016445048,0.5813329952815856,1.0,0.0
V2H-local-shuffle,hist_rel_f0p70_cap100_base0p025,False,shuffle_eeg_control,history_reliability,0.2,0.025,0.0,5,0.9359746265075038,0.036634632276576304,0.6331718805855341,0.002191895899970838,0.654886224876054,0.6331718805855341,0.6315438842256257,0.6365207061824125,0.5911096878822371,1.0,0.0
V2H-local-shuffle,hist_rel_f0p80_cap90_base0p025,False,shuffle_eeg_control,history_reliability,0.2,0.025,0.0,5,0.970536107597131,0.023800399811481146,0.6320187965292831,0.005655470899400758,0.652803955201507,0.6320187965292831,0.6321137341279239,0.6366464455958504,0.5958457111290365,1.0,0.0
V2H-local-shuffle,pos_std_rel_fallback0p05,False,shuffle_eeg_control,position_context_std_fallback,0.2,0.025,0.05,5,0.8308352982493339,0.0863066623647499,0.6313437779747766,0.008995230984396169,0.649949977576478,0.6313437779747766,0.6248428066022996,0.6246250738899548,0.5832118431677858,1.0,0.0
