phase,split_version,config_id,fold,seed,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,alignment_train_only,score_alignment,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_pair_count
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_center_alpha_1p5,0.7075219142383321,0.7063942357245928,0.5877473099618188,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_center_alpha_2p0,0.7075219142383321,0.7063942357245928,0.607913918778202,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_center_rate_beta_0p5,0.7075219142383321,0.7063942357245928,0.5574453314821244,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_center_rate_beta_1p0,0.7075219142383321,0.7063942357245928,0.5800416522040959,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_center_rate_beta_1p5,0.7075219142383321,0.7063942357245928,0.6001735508503991,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,1,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_center_rate_beta_2p0,0.7075219142383321,0.7063942357245928,0.6157931273863242,28,0.7123745819397993,0.7123745819397993,0.724415970933828,598
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,raw,0.5600306637806638,0.5574303011803011,0.39126703143439545,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,fold_train_zscore,0.5600306637806638,0.5574303011803011,0.39126703143439545,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,user_train_center,0.5600306637806638,0.5574303011803011,0.4527411221971891,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,user_train_zscore,0.5600306637806638,0.5574303011803011,0.44304974430497446,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
