score_alignment,candidate,uses_eeg,control_type,seed_count,mean_transfer_gauc,std_transfer_gauc,mean_transfer_macro_user_auc,mean_transfer_global_auc,mean_local_user_pair_gauc,seed_beats_current_champion_rate,seed_hits_0p8_rate
user_center_rate_beta_0p5,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.48662399565466663,0.6323242867109997,1.0,0.0
user_train_zscore,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.42185354887353077,0.6323242867109997,1.0,0.0
user_center_alpha_1p0,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.41934303120362637,0.6323242867109997,1.0,0.0
user_train_center,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.41934303120362637,0.6323242867109997,1.0,0.0
fold_train_zscore,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.3630045612514125,0.6323242867109997,1.0,0.0
raw,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.3630045612514125,0.6323242867109997,1.0,0.0
user_center_alpha_0p5,V2H-local-shuffle,False,shuffle_eeg_control,5,0.6285841865279359,0.006806994077684205,0.629641927663753,0.36197852568383826,0.6323242867109997,1.0,0.0
user_center_rate_beta_2p0,V2H-local-zero,False,zero_eeg_control,5,0.5803985535015519,0.006502839741385248,0.585047220416268,0.6865565046082349,0.5937895273260175,0.0,0.0
user_center_rate_beta_1p5,V2H-local-zero,False,zero_eeg_control,5,0.5803985535015519,0.006502839741385248,0.585047220416268,0.6758431353449419,0.5937895273260175,0.0,0.0
user_center_rate_beta_1p0,V2H-local-zero,False,zero_eeg_control,5,0.5803985535015519,0.006502839741385248,0.585047220416268,0.6425921657393641,0.5937895273260175,0.0,0.0
user_center_alpha_2p0,V2H-local-zero,False,zero_eeg_control,5,0.5803985535015519,0.006502839741385248,0.585047220416268,0.6039251040334193,0.5937895273260175,0.0,0.0
user_center_alpha_1p5,V2H-local-zero,False,zero_eeg_control,5,0.5803985535015519,0.006502839741385248,0.585047220416268,0.5681363202537847,0.5937895273260175,0.0,0.0
