experiment_id,suite,fold,model,ablation,normalization,encoder,seed,train_count,dev_count,params,trainable_params,best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds
G_ablation_roll1_ablation-E5_s3,ablation,roll1,ablation-E5,E5,global_train_zscore,mlp,3,1786,349,25082,25001,11,0.6328520815834249,0.6386377379234521,0.6290177021867407,0.6509982866597201,0.23077332432243947,0.08701488311618653,5.1196746826171875
G_ablation_roll1_ablation-E5_s4,ablation,roll1,ablation-E5,E5,global_train_zscore,mlp,4,1786,349,25082,25001,12,0.5936049191273073,0.596593056414485,0.6145088510933703,0.6527624472843208,0.23091604999604687,0.06428328656023076,5.315536260604858
G_ablation_roll1_ablation-E6_s0,ablation,roll1,ablation-E6,E6,global_train_zscore,mlp,0,1786,349,25082,25001,8,0.5890171437186363,0.5856017015392017,0.570426935091982,0.6796697274630898,0.24288465582575924,0.11682778003393413,4.3296356201171875
G_ablation_roll1_ablation-E6_s1,ablation,roll1,ablation-E6,E6,global_train_zscore,mlp,1,1786,349,25082,25001,10,0.6073319549438954,0.6064748462516321,0.5793474488024991,0.6740948100783736,0.2404034745677929,0.10690509231179353,4.898008346557617
G_ablation_roll1_ablation-E6_s2,ablation,roll1,ablation-E6,E6,global_train_zscore,mlp,2,1786,349,25082,25001,17,0.6090520342012881,0.6065360664467808,0.6446025685525859,0.6384805577464552,0.22426519974483577,0.035833938308807364,6.299184083938599
G_ablation_roll1_ablation-E6_s3,ablation,roll1,ablation-E6,E6,global_train_zscore,mlp,3,1786,349,25082,25001,12,0.6051772522668044,0.6057222308115167,0.6164179104477613,0.6497062960807799,0.2299026548964486,0.07047111664853328,5.411103010177612
G_ablation_roll1_ablation-E6_s4,ablation,roll1,ablation-E6,E6,global_train_zscore,mlp,4,1786,349,25082,25001,6,0.5779295083026428,0.5767299697656841,0.5472752516487331,0.6789800620504216,0.24266477016682542,0.10086674335009728,4.063610076904297
G_ablation_roll1_ablation-E7_s0,ablation,roll1,ablation-E7,E7,global_train_zscore,mlp,0,1786,349,25082,25001,11,0.5730941612284897,0.5741593013468014,0.6557445331482125,0.666404928914896,0.23162965791475298,0.11468996394713833,4.916722059249878
G_ablation_roll1_ablation-E7_s1,ablation,roll1,ablation-E7,E7,global_train_zscore,mlp,1,1786,349,25082,25001,14,0.6029421076436002,0.6003936258846974,0.6843110031239154,0.6359038360489386,0.2176611264286876,0.08461231913919263,5.804483890533447
G_ablation_roll1_ablation-E7_s2,ablation,roll1,ablation-E7,E7,global_train_zscore,mlp,2,1786,349,25082,25001,16,0.5924575176067713,0.5888125085892943,0.6858382506074281,0.6337544114555713,0.2167522661100107,0.0760803965766271,6.05755877494812
G_ablation_roll1_ablation-E7_s3,ablation,roll1,ablation-E7,E7,global_train_zscore,mlp,3,1786,349,25082,25001,11,0.5926749370032953,0.5954891603105888,0.646060395695939,0.655720609537998,0.22692105944592342,0.06908557810060104,4.886351823806763
G_ablation_roll1_ablation-E7_s4,ablation,roll1,ablation-E7,E7,global_train_zscore,mlp,4,1786,349,25082,25001,7,0.5791651052098813,0.5807537749948464,0.5904547032280458,0.6644607350261662,0.23429929660908472,0.09314935754739113,4.251253366470337
G_ablation_roll1_ablation-E8_s0,ablation,roll1,ablation-E8,E8,global_train_zscore,mlp,0,1786,349,25082,25001,6,0.5846081281902178,0.5829738069470212,0.5720236029156542,0.6673181924157445,0.23769511388024275,0.08601906110017556,3.989511251449585
G_ablation_roll1_ablation-E8_s1,ablation,roll1,ablation-E8,E8,global_train_zscore,mlp,1,1786,349,25082,25001,8,0.597110443453727,0.5985122053872054,0.5956612287400208,0.6631038733392638,0.23557322020932597,0.08661970637076905,4.350920677185059
G_ablation_roll1_ablation-E8_s2,ablation,roll1,ablation-E8,E8,global_train_zscore,mlp,2,1786,349,25082,25001,8,0.5867573388468912,0.5839538024805881,0.5844151336341548,0.6631205976847664,0.23578326563710353,0.09660835986834201,4.3428239822387695
G_ablation_roll1_ablation-E8_s3,ablation,roll1,ablation-E8,E8,global_train_zscore,mlp,3,1786,349,25082,25001,8,0.5969821886239797,0.6037390271765274,0.6061784102742103,0.6611073063220773,0.2350420364454175,0.08586566630526736,4.169585943222046
G_ablation_roll1_ablation-E8_s4,ablation,roll1,ablation-E8,E8,global_train_zscore,mlp,4,1786,349,25082,25001,5,0.5806718571643945,0.5791283584140727,0.5498090940645609,0.6791527695193916,0.24273215777692098,0.10211627962425308,3.517627477645874
G_ablation_roll2_ablation-E0_s0,ablation,roll2,ablation-E0,E0,global_train_zscore,mlp,0,2135,356,25082,25001,7,0.5977501578282829,0.6020490620490621,0.5928906054429067,0.6255247748126728,0.21771321082392578,0.03182478364507324,4.505943536758423
G_ablation_roll2_ablation-E0_s1,ablation,roll2,ablation-E0,E0,global_train_zscore,mlp,1,2135,356,25082,25001,16,0.628746617965368,0.6311320623820624,0.6281872474341095,0.6104749811142894,0.2118912845847376,0.059350498834902204,7.2644572257995605
G_ablation_roll2_ablation-E0_s2,ablation,roll2,ablation-E0,E0,global_train_zscore,mlp,2,2135,356,25082,25001,10,0.612307674963925,0.6135534373034373,0.579015127132282,0.6232435057147118,0.21697377147711866,0.047893847042584814,5.328371047973633
