phase,protocol_id,iteration,selected_variant,reference_variant,weighted_delta_context_auc
V2-T,V2M-two_stage_user_local_reranker-v1,90,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001472420432665082
V2-T,V2M-two_stage_user_local_reranker-v1,91,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001110370863868535
V2-T,V2M-two_stage_user_local_reranker-v1,92,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002753000770840221
V2-T,V2M-two_stage_user_local_reranker-v1,93,margin_power0p2_base0p025,margin_power0p25_base0p05,0.000778210116731519
V2-T,V2M-two_stage_user_local_reranker-v1,94,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0012191067272525793
V2-T,V2M-two_stage_user_local_reranker-v1,95,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0028030833917309056
V2-T,V2M-two_stage_user_local_reranker-v1,96,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002512837321096909
V2-T,V2M-two_stage_user_local_reranker-v1,97,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0002173676774263654
V2-T,V2M-two_stage_user_local_reranker-v1,98,margin_power0p2_base0p025,margin_power0p25_base0p05,0.00046565774155995696
V2-T,V2M-two_stage_user_local_reranker-v1,99,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0017362995116657655
V2-T,V2M-two_stage_user_local_reranker-v1,100,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002063273727647872
V2-T,V2M-two_stage_user_local_reranker-v1,101,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0006527415143603157
V2-T,V2M-two_stage_user_local_reranker-v1,102,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001061007957559684
V2-T,V2M-two_stage_user_local_reranker-v1,103,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002148592106751106
V2-T,V2M-two_stage_user_local_reranker-v1,104,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0003287310979618711
V2-T,V2M-two_stage_user_local_reranker-v1,105,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002190580503833518
V2-T,V2M-two_stage_user_local_reranker-v1,106,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003042939253916379
V2-T,V2M-two_stage_user_local_reranker-v1,107,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0021217197096594117
V2-T,V2M-two_stage_user_local_reranker-v1,108,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0011070519207350847
V2-T,V2M-two_stage_user_local_reranker-v1,109,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0008318478906714215
V2-T,V2M-two_stage_user_local_reranker-v1,110,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0018741042883915798
V2-T,V2M-two_stage_user_local_reranker-v1,111,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002628696604600223
V2-T,V2M-two_stage_user_local_reranker-v1,112,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.0019401963022141063
