phase,protocol_id,split_version,score_variant,variant_family,power,base_weight,mean_protocol_gauc,mean_protocol_macro_user_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,fold_seed_std_protocol_gauc,min_fold_mean_protocol_gauc,max_fold_mean_protocol_gauc,min_seed_mean_protocol_gauc,max_seed_mean_protocol_gauc,protocol_gap_to_top,within_tight_top_band,within_near_top_band,beats_all_controls,delta_protocol_gauc_vs_v2s_selected,fold_seed_win_rate_vs_v2s_selected,fold_mean_min_delta_vs_v2s_selected,seed_mean_min_delta_vs_v2s_selected,delta_protocol_gauc_vs_v2q_reference,fold_seed_win_rate_vs_v2q_reference,fold_mean_min_delta_vs_v2q_reference,seed_mean_min_delta_vs_v2q_reference,stability_priority_score
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p3_base0p1,fine_power_base_grid,0.3,0.1,0.6784335462017219,0.6802978117520541,0.6705677122448075,0.6736238714621651,0.5953535274719279,0.029493256414168695,0.6551369863013699,0.717056856187291,0.6683858960743029,0.6877350264255612,0.002935966158122305,False,False,True,-0.002935966158122216,0.26666666666666666,-0.004794520547945225,-0.010266151464969528,-0.0011426212766874352,0.3333333333333333,-0.0030100334448160517,-0.005685713867739676,0.6713268987648464
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p3_base0p025,fine_power_base_grid,0.3,0.025,0.6784184463400016,0.6882544424775754,0.6708701962369672,0.6744251036294687,0.5892687348944021,0.03214878004627273,0.6527397260273973,0.7197324414715719,0.6716996429557941,0.6882563614762335,0.0029510660198426297,False,False,True,-0.0029510660198425113,0.4,-0.007191780821917804,-0.00625649012344746,-0.0011577211384077302,0.4666666666666667,-0.004109589041095862,-0.004925858826412166,0.6707812513284334
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p4_base0p15,fine_power_base_grid,0.4,0.15,0.6782124514094827,0.6795535245412205,0.6700405064191367,0.6729802018968687,0.5954272305224543,0.03001549263829822,0.6544520547945205,0.7177257525083611,0.6689566723300105,0.6860808248979953,0.003157060950361501,False,False,True,-0.003157060950361412,0.26666666666666666,-0.005479452054794542,-0.01014435546880891,-0.0013637160689266312,0.26666666666666666,-0.002397260273972601,-0.006225088193521781,0.6709752449165748
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p4_base0p05,fine_power_base_grid,0.4,0.05,0.6781405216533327,0.6863915007339946,0.6697334830037036,0.6731526254462762,0.5900252604392324,0.03154159799406397,0.6558219178082192,0.7187290969899666,0.6723325558652874,0.686570758018742,0.003228990706511503,False,False,True,-0.003228990706511429,0.13333333333333333,-0.004109589041095885,-0.004948574721815868,-0.001435645825076648,0.3333333333333333,-0.001941747572815533,-0.0037348651099612384,0.6703884554881501
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p5_base0p1,fine_power_base_grid,0.5,0.1,0.6780828898760574,0.6850009481281641,0.6691525018828683,0.6724658085888244,0.5912037910760148,0.03129886569977496,0.6569579288025891,0.7187290969899666,0.6711736312848279,0.6858434416287854,0.0032866224837868607,False,False,True,-0.003286622483786779,0.13333333333333333,-0.006148867313915884,-0.006045362648489834,-0.0014932776023519982,0.4,-0.004854368932038833,-0.005451870497378386,0.6703915067844469
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p5_base0p075,fine_power_base_grid,0.5,0.075,0.6776911163588103,0.6863572109497048,0.6696087425044295,0.6731346592854529,0.5902254994768653,0.03231024364799446,0.6544520547945206,0.7193979933110367,0.6717490841608295,0.6860313836929599,0.0036783960010339234,False,False,True,-0.003678396001033731,0.06666666666666667,-0.005479452054794521,-0.005555429527743165,-0.0018850511195989499,0.26666666666666666,-0.0025889967637540367,-0.004876417621376768,0.6696802221134783
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p35_base0p025,fine_power_base_grid,0.35,0.025,0.6776391360640248,0.6877573730603671,0.670836910169675,0.6744413279254549,0.5888767922902425,0.03269848336993381,0.6510273972602739,0.720401337792642,0.6700320787734123,0.6865620719842199,0.0037303762958194042,False,False,True,-0.0037303762958192043,0.2,-0.00890410958904111,-0.007366640704937311,-0.0019370314143844233,0.4,-0.005821917808219168,-0.006593423008793915,0.6696645152215414
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p15_base0p05,fine_power_base_grid,0.15,0.05,0.677308830758931,0.6787167536572898,0.6697660883318386,0.6725862406993359,0.5968071238988124,0.027841960394388094,0.6547945205479453,0.7133779264214046,0.6683498175240833,0.6860761482777015,0.0040606816009132185,False,False,True,-0.004060681600913019,0.13333333333333333,-0.0076923076923076875,-0.012944786128084104,-0.0022673367194782374,0.3333333333333333,-0.006688963210702337,-0.009025518852796973,0.6704816739936673
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p5_base0p05,fine_power_base_grid,0.5,0.05,0.6772939977796371,0.6871659513421072,0.6701697077618007,0.6736682181354801,0.5891799240033528,0.0334287254661772,0.6496575342465754,0.7207357859531772,0.6705580904443785,0.6865306700542942,0.004075514580207162,False,False,True,-0.004075514580207037,0.4,-0.010273972602739722,-0.007258405054278698,-0.0022821696987722555,0.4666666666666667,-0.007191780821917781,-0.0060674113378276955,0.6693368164130927
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,sqrt_margin_eeg_base0p05,reference_score_family,0.5,0.05,0.6772939977796371,0.6871659513421072,0.6701697077618007,0.6736682181354801,0.5891799240033528,0.0334287254661772,0.6496575342465754,0.7207357859531772,0.6705580904443785,0.6865306700542942,0.004075514580207162,False,False,True,-0.004075514580207037,0.4,-0.010273972602739722,-0.007258405054278698,-0.0022821696987722555,0.4666666666666667,-0.007191780821917781,-0.0060674113378276955,0.6693368164130927
