experiment_id,stage,fold,config,scheduler,balance,lambda_pair,seed,params,backbone_params,eeg_params,backbone_best_epoch,eeg_best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds,locked_test_accessed
T_T3_user_balance_f1_sch-none_bal-user_balanced_sampler_pair-0p0_s0,T3_user_balance,1,sch-none_bal-user_balanced_sampler_pair-0p0,none,user_balanced_sampler,0.0,0,19739,1513,18145,11,1,0.5802929077555943,0.5816580773723631,0.5673724401249566,0.666653407466607,0.2372994235036399,0.06167730932420166,16.114630699157715,False
T_T3_user_balance_f1_sch-none_bal-user_balanced_sampler_pair-0p0_s1,T3_user_balance,1,sch-none_bal-user_balanced_sampler_pair-0p0,none,user_balanced_sampler,0.0,1,19739,1513,18145,34,5,0.6118327195192867,0.6042389026317598,0.6632072197153767,0.6295099339404118,0.2185536011952175,0.043617356557900715,31.281808376312256,False
T_T3_user_balance_f1_sch-none_bal-user_balanced_sampler_pair-0p0_s2,T3_user_balance,1,sch-none_bal-user_balanced_sampler_pair-0p0,none,user_balanced_sampler,0.0,2,19739,1513,18145,20,2,0.5779417845835757,0.5709123118944547,0.5833391183616801,0.6733640258080925,0.2398000118890105,0.09031991380931312,21.07757258415222,False
T_T3_user_balance_f2_sch-none_bal-user_balanced_sampler_pair-0p0_s0,T3_user_balance,2,sch-none_bal-user_balanced_sampler_pair-0p0,none,user_balanced_sampler,0.0,0,19739,1513,18145,9,4,0.623881222943723,0.6228607041107043,0.6132389228623538,0.6124546442947562,0.2125966733623147,0.04024981952656917,18.343514680862427,False
T_T3_user_balance_f2_sch-none_bal-user_balanced_sampler_pair-0p0_s1,T3_user_balance,2,sch-none_bal-user_balanced_sampler_pair-0p0,none,user_balanced_sampler,0.0,1,19739,1513,18145,20,6,0.6488333107864357,0.6475596163096164,0.6406680256052641,0.6066155142744946,0.21073050684543174,0.04003792386822498,27.41596269607544,False
T_T3_user_balance_f2_sch-none_bal-user_balanced_sampler_pair-0p0_s2,T3_user_balance,2,sch-none_bal-user_balanced_sampler_pair-0p0,none,user_balanced_sampler,0.0,2,19739,1513,18145,16,1,0.6172055375180375,0.6173548673548674,0.6169223616922361,0.6124972521585993,0.21301126699555642,0.05298192142587407,20.73823094367981,False
T_T3_user_balance_f3_sch-none_bal-user_balanced_sampler_pair-0p0_s0,T3_user_balance,3,sch-none_bal-user_balanced_sampler_pair-0p0,none,user_balanced_sampler,0.0,0,19739,1513,18145,7,6,0.630964101943123,0.6425931283222951,0.6550208745330697,0.6336619749192087,0.20298833526131466,0.06990113780483119,21.035284757614136,False
T_T3_user_balance_f3_sch-none_bal-user_balanced_sampler_pair-0p0_s1,T3_user_balance,3,sch-none_bal-user_balanced_sampler_pair-0p0,none,user_balanced_sampler,0.0,1,19739,1513,18145,18,10,0.6506647684095237,0.6658063233063234,0.7037647403501062,0.6048400188496671,0.1937143525796194,0.0571006936368786,30.38420295715332,False
T_T3_user_balance_f3_sch-none_bal-user_balanced_sampler_pair-0p0_s2,T3_user_balance,3,sch-none_bal-user_balanced_sampler_pair-0p0,none,user_balanced_sampler,0.0,2,19739,1513,18145,21,6,0.6401630517889259,0.6504173103131436,0.6752728338094193,0.6210384735750581,0.19961965498323156,0.0507419163961877,29.08784294128418,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p0_s0,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,0,19739,1513,18145,20,2,0.599324266115311,0.591214290008933,0.5953835473793821,0.6669691673663015,0.23718629594767016,0.0792552081382377,19.121881008148193,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p0_s1,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,1,19739,1513,18145,12,20,0.6273969976955052,0.6221553760393046,0.6401943769524471,0.6529146477106609,0.22722519002292196,0.09340213726469473,23.14577341079712,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p0_s2,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,2,19739,1513,18145,6,1,0.5737833559475353,0.5715903078403078,0.5470322804581742,0.6783322421229321,0.2424181605713799,0.09475865118995438,12.48677659034729,False
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p0_s0,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,0,19739,1513,18145,10,4,0.5934789862914863,0.5997704610204609,0.6202839466437793,0.6208914966117269,0.2154916923952617,0.06422188456609762,17.64192271232605,False
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p0_s1,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,1,19739,1513,18145,16,2,0.6319196428571429,0.634282846782847,0.6266852626685263,0.6098958254658935,0.21176415080073935,0.06612082951037697,19.34520721435547,False
