phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,variant_family,feature_set,pair_weighting,oof_meta,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,baseline_score_transform,none,none,False,0.6555183946488294,0.6511142164713591,0.6555183946488294,0.6626435099292243,598,35,28,0.6271149662940707,0.6278162148697863,0.623741756334606,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,baseline_score_transform,none,none,False,0.571917808219178,0.5606950919450919,0.571917808219178,0.5596791325957994,584,30,26,0.5610996121933621,0.5559498371998373,0.5905661052104567,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,v2n_eeg_base_0p05,baseline_score_transform,none,none,False,0.5598705501618123,0.597959648662693,0.5598705501618123,0.5918696713339571,618,28,24,0.5804146902049,0.5991102955686289,0.6450596938401817,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,baseline_score_transform,none,none,False,0.6521739130434783,0.6444673910745339,0.6521739130434783,0.6573260496117639,598,35,28,0.6222026232473993,0.6215945595409881,0.6233252342936481,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,baseline_score_transform,none,none,False,0.5753424657534246,0.5650220150220151,0.5753424657534246,0.5634291325957993,584,30,26,0.5649537788600288,0.5602767602767603,0.5915316668454743,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,sqrt_margin_eeg_base0p05,baseline_score_transform,none,none,False,0.5631067961165048,0.6036446172888381,0.5631067961165048,0.5976178517249945,618,28,24,0.583291019392418,0.6016051965010298,0.6474401230498791,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,baseline_score_transform,none,none,False,0.6538461538461539,0.6385362686255542,0.6538461538461539,0.6519859135573421,598,35,28,0.6200171221813012,0.6186608860716003,0.6254078444984381,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,baseline_score_transform,none,none,False,0.5873287671232876,0.5860664798164797,0.5873287671232876,0.5841676687510021,584,30,26,0.5789174107142857,0.5753251378251378,0.5957872903479599,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,margin_power0p25_base0p05,baseline_score_transform,none,none,False,0.5679611650485437,0.6114853797184163,0.5679611650485437,0.6052914083271227,618,28,24,0.5906431757830359,0.6083834067167401,0.6534461290558853,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_equal_C0p25,oof_pair_meta,score_only,equal,True,0.5852842809364549,0.575632499114642,0.5852842809364549,0.562462653748368,598,35,28,0.5632350153991945,0.5598634516938089,0.5707393266227004,28
