experiment_id,model,seed,split_version,feature_set,params,best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,checkpoint,prediction_file,elapsed_seconds
B_LR-history-only_rollv2_s3,LR-history-only,3,protocol_a_rollv2_train_dev,LR-history-only,14,,0.29060447128628947,0.3035350028058361,0.7464293561854538,0.5485335658720536,0.18363438345274474,0.08647444660949999,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-history-only_rollv2_s3\predictions.csv,0.012738943099975586
B_LR-history-only_rollv2_s4,LR-history-only,4,protocol_a_rollv2_train_dev,LR-history-only,14,,0.29060447128628947,0.3035350028058361,0.7464293561854538,0.5485335658720536,0.18363438345274474,0.08647444660949999,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-history-only_rollv2_s4\predictions.csv,0.02113819122314453
B_LR-all_rollv2_s0,LR-all,0,protocol_a_rollv2_train_dev,LR-all,80,,0.48096620745222146,0.5005171487463155,0.7625430308357137,0.5765424732911444,0.18007308699612287,0.054256142462222316,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-all_rollv2_s0\predictions.csv,0.04787158966064453
B_LR-all_rollv2_s1,LR-all,1,protocol_a_rollv2_train_dev,LR-all,80,,0.48096620745222146,0.5005171487463155,0.7625430308357137,0.5765424732911444,0.18007308699612287,0.054256142462222316,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-all_rollv2_s1\predictions.csv,0.04488110542297363
B_LR-all_rollv2_s2,LR-all,2,protocol_a_rollv2_train_dev,LR-all,80,,0.48096620745222146,0.5005171487463155,0.7625430308357137,0.5765424732911444,0.18007308699612287,0.054256142462222316,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-all_rollv2_s2\predictions.csv,0.05585122108459473
B_LR-all_rollv2_s3,LR-all,3,protocol_a_rollv2_train_dev,LR-all,80,,0.48096620745222146,0.5005171487463155,0.7625430308357137,0.5765424732911444,0.18007308699612287,0.054256142462222316,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-all_rollv2_s3\predictions.csv,0.0569305419921875
B_LR-all_rollv2_s4,LR-all,4,protocol_a_rollv2_train_dev,LR-all,80,,0.48096620745222146,0.5005171487463155,0.7625430308357137,0.5765424732911444,0.18007308699612287,0.054256142462222316,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_LR-all_rollv2_s4\predictions.csv,0.05485343933105469
B_HistGBDT_rollv2_s0,HistGBDT,0,protocol_a_rollv2_train_dev,HistGBDT,1890,,0.5628197268931534,0.5842604155104155,0.7596132718083938,0.5356436645580165,0.18033568286082124,0.05662250231343546,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_HistGBDT_rollv2_s0\predictions.csv,2.283271312713623
B_HistGBDT_rollv2_s1,HistGBDT,1,protocol_a_rollv2_train_dev,HistGBDT,1890,,0.5628197268931534,0.5842604155104155,0.7596132718083938,0.5356436645580165,0.18033568286082124,0.05662250231343546,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_HistGBDT_rollv2_s1\predictions.csv,1.128976821899414
B_HistGBDT_rollv2_s2,HistGBDT,2,protocol_a_rollv2_train_dev,HistGBDT,1890,,0.5628197268931534,0.5842604155104155,0.7596132718083938,0.5356436645580165,0.18033568286082124,0.05662250231343546,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_HistGBDT_rollv2_s2\predictions.csv,1.8469853401184082
