experiment_id,stage,fold,config,seed,params,backbone_params,eeg_params,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,h2_gauc,h2_logloss,h2_brier,h2_ece,shuffle_gauc,zero_gauc,delta_h2_gauc,delta_shuffle_gauc,delta_zero_gauc,zero_sensitivity,shuffle_sensitivity,h2_sensitivity,correction_abs_mean,eeg_gradient_norm,normalization,pairwise_weight,pair_cap_per_user,hard_negative_pairs,listwise_weight,user_weight_power,correction_l2,backbone_best_epoch,eeg_best_epoch,elapsed_seconds,locked_test_accessed
V_V2E_f3_V2E-dynamic-gated-userw0p5-listwise_s1,V2E,3,V2E-dynamic-gated-userw0p5-listwise,1,43451,1513,41857,0.5957297170583884,0.6118006530506531,0.642020068849337,0.6449466591283951,0.20859467534558876,0.06322633353139144,0.5888894613544963,0.6487131811438143,0.21034273936577885,0.06476805432170045,0.5922832897483247,0.5880153354803704,0.0068402557038921286,0.0034464273100637266,0.007714381578017959,0.007603793404996395,0.00419975258409977,0.006917283870279789,0.030198274180293083,0.20373783914646004,global_train_zscore,0.05,16,True,0.02,0.5,0.0,10,3,31.154526233673096,False
V_V2E_f3_V2E-dynamic-gated-userw0p5-listwise_s2,V2E,3,V2E-dynamic-gated-userw0p5-listwise,2,43451,1513,41857,0.6007477565169873,0.6177384768009768,0.6853805024536732,0.6208677675487919,0.1976133585602766,0.05458360798924552,0.5905958357881435,0.6524761687894246,0.21200816767244798,0.05433657606776693,0.5647805768435139,0.5988727861105484,0.010151920728843855,0.035967179673473404,0.0018749704064389139,0.08555241674184799,0.04109308123588562,0.08081985265016556,0.37779501080513,0.2994828832390288,global_train_zscore,0.05,16,True,0.02,0.5,0.0,6,5,29.08034372329712,False
V_V2E_f1_V2E-dynamic-gated-session-resid-shrink_s0,V2E,1,V2E-dynamic-gated-session-resid-shrink,0,43451,1513,41857,0.6022110228080377,0.5935309944684946,0.5970149253731343,0.664871331818632,0.23635135110336933,0.08370892989601308,0.6022110228080377,0.6650320152973651,0.2364196707840959,0.08158313493673985,0.6022110228080377,0.6022110228080377,0.0,0.0,0.0,0.00019528355915099382,5.048473030910827e-05,0.000381012971047312,0.0017704750644043088,0.012214489752214324,session_residual,0.05,16,True,0.02,0.0,0.005,23,1,32.01504564285278,False
V_V2E_f1_V2E-dynamic-gated-session-resid-shrink_s1,V2E,1,V2E-dynamic-gated-session-resid-shrink,1,43451,1513,41857,0.6106998556998559,0.6055847376829521,0.5935786185352309,0.6679527716041114,0.23778577924542027,0.10379646729176228,0.6081376666451294,0.6684883753227605,0.23801688152141248,0.10444830253421408,0.6106998556998559,0.6120680149038359,0.0025621890547264936,0.0,-0.001368159203980035,0.0003688031283672899,0.00011909977183677256,0.0008842811803333461,0.004209334496408701,0.00942794398931563,session_residual,0.05,16,True,0.02,0.0,0.005,15,2,28.33251976966858,False
V_V2E_f1_V2E-dynamic-gated-session-resid-shrink_s2,V2E,1,V2E-dynamic-gated-session-resid-shrink,2,43451,1513,41857,0.5758706467661692,0.5732082732082732,0.5477959041999305,0.676987832199363,0.2418305258856474,0.09277925877311509,0.5736069651741295,0.6779333411208723,0.24225511481542622,0.0914183676157435,0.5761550472744504,0.5784803256445049,0.0022636815920397124,-0.0002844005082812684,-0.0026096788783357416,0.0036385871935635805,0.0020407200790941715,0.0030868947505950928,0.01421964168548584,0.050284204460469946,session_residual,0.05,16,True,0.02,0.0,0.005,6,4,21.656518697738647,False
V_V2E_f2_V2E-dynamic-gated-session-resid-shrink_s0,V2E,2,V2E-dynamic-gated-session-resid-shrink,0,43451,1513,41857,0.6100899621212121,0.615649813149813,0.6155276615527662,0.6185474411646441,0.21478660636686125,0.0420371779663164,0.5964105339105339,0.6237564154327486,0.21691432322452098,0.045583179089753456,0.6025445301226551,0.5786716495310245,0.013679428210678246,0.007545431998557062,0.03141831259018768,0.022176111117005348,0.018222972750663757,0.025814233347773552,0.11708079278469086,0.3512878795293937,session_residual,0.05,16,True,0.02,0.0,0.005,8,5,27.37805962562561,False
V_V2E_f2_V2E-dynamic-gated-session-resid-shrink_s1,V2E,2,V2E-dynamic-gated-session-resid-shrink,1,43451,1513,41857,0.6308409992784993,0.6316165316165315,0.6506454958337803,0.602055684366927,0.20831467815097754,0.05877041939732339,0.6302643623737374,0.6038759672963708,0.20913741580744105,0.055199412443267,0.6265948547979798,0.6251191603535353,0.0005766369047619513,0.00424614448051952,0.005721838924964029,0.0065523129887878895,0.000828622083645314,0.010755141265690327,0.048945024609565735,0.05067050351254739,session_residual,0.05,16,True,0.02,0.0,0.005,20,4,37.4706449508667,False
V_V2E_f2_V2E-dynamic-gated-session-resid-shrink_s2,V2E,2,V2E-dynamic-gated-session-resid-shrink,2,43451,1513,41857,0.6199427308802309,0.6267131017131018,0.6099846225369238,0.6275376581797534,0.2200333065200797,0.07317662479230361,0.617137784090909,0.6232812458417387,0.21696324745352133,0.04558305567250783,0.5872170364357865,0.6028189258658008,0.0028049467893218605,0.0327256944444444,0.017123805014430116,0.12729503214359283,0.08047240227460861,0.09984119236469269,0.440507173538208,0.2510287338992604,session_residual,0.05,16,True,0.02,0.0,0.005,8,9,30.436055183410645,False
V_V2E_f3_V2E-dynamic-gated-session-resid-shrink_s0,V2E,3,V2E-dynamic-gated-session-resid-shrink,0,43451,1513,41857,0.5984782796845735,0.5972804279054279,0.6738811982714422,0.6220838737662782,0.19843946567017914,0.028539849587728743,0.5935228330333225,0.6508305687423083,0.21122685349284956,0.038015274231841235,0.5176292045173164,0.5981856430283002,0.0049554466512509165,0.08084907516725703,0.0002926366562732152,0.06987272202968597,0.07619963586330414,0.08291938900947571,0.3806423842906952,0.4452230200022104,session_residual,0.05,16,True,0.02,0.0,0.005,5,6,31.238455772399902,False
V_V2E_f3_V2E-dynamic-gated-session-resid-shrink_s1,V2E,3,V2E-dynamic-gated-session-resid-shrink,1,43451,1513,41857,0.5964758143953948,0.6113318779985447,0.6545081667032887,0.6380575219600791,0.20567953213630127,0.0612839181253353,0.5899366464925906,0.6475849660342723,0.209776251266835,0.06814928724318325,0.5901753840565029,0.5878846192657381,0.006539167902804177,0.006300430338891827,0.00859119512965667,0.00614370359107852,0.006809346843510866,0.022450048476457596,0.10376513004302979,0.22033538379964482,session_residual,0.05,16,True,0.02,0.0,0.005,12,4,35.34693360328674,False
